professor,variant_names,
A. Aksoy,"Aksoy, A.",
A. Aziz M. Al-Swailem,"Al-Swailem, A. Aziz M.",
A.J Al-Khalifa,"Al-Khalifa, A.J",
Abdalla Elamin,"Elamin, Abdalla; Abdalla, Elamin; Elamin Abdalla",
Abdel Nasser Kawde,"Kawde, Abdel Nasser",
Abdul Rahman K. Al-Ali,"Al-Ali, Abdul Rahman K.",
Abdul Raoof I. Jado,"Jado, Abdul Raoof I.",
Abdulaziz A. Al Majed,"Al Majed, Abdulaziz A.; Al-Majed, Abdulaziz; Abdulaziz Al-Majed",
Abdulaziz Abdulraheem,"Abdulraheem, Abdulaziz; Abdulraheem, Abdulazeez; Abdulazeez Abdulraheem; Abdulraheem, Dr. Abdulazeez; Abdulazeez, Abdulraheem; Dr. Abdulazeez Abdulraheem; Abdulraheem Abdulazeez",
Abdullah Abulkibash,"Abulkibash, Abdullah",
Abdullah Alshuhail,"Alshuhail, Abdullah; Abdullah, Alshuhail; Al-Shuhail, A.A; Alshuhail, Abdullah Abdulaziz; Abdullah Abdulaziz Alshuhail; Alshuhail Abdullah",
Abdullah Sultan,"Sultan, Abdullah; Abdullah S Al-Sultan",
Abdullatif A. Qahwash,"Qahwash, Abdullatif A.",
Abdullatif Al-Shuhail,"Al-Shuhail, Abdullatif; Al-Shuhail, Abdullatif A.; Abdullatif A. Al-Shuhail; Prof. Al-Shuhail, Abdullatif; Abdullatif, Al-Shuhail A.; A.A Al-Shuhail; Abdullatif Prof. Al-Shuhail; Abdullatif Alshuhail; Abdullatif Abdulrahman Al-Shuhail; Abdulrahman Alshuhail Abdullatif; Abdullatif, Abdulrahman Alshuhail; Al-Shuhail, Abdallatif A; Abdallatif A Al-Shuhail; Al-shuhail, Abdellatif; Abdellatif Al-shuhail; Al-Shuhail, Abdulatif; Al-Shuhail, Abdulatif A.; Abdulatif A. Al-Shuhail; Al-Shuhail A. Abdullatif; ABD-UL-LATIF AL-SHUHAIL; Abdulatif Al-Shuhail; Abdullaif Abdulrahman Al-Shuhail",
Abdulrauf Adebayo,"Adebayo, Abdulrauf",
Abdulwahab Abokhodair,"Abokhodair, Abdulwahab; Abokhodair, Abdul-Wahab A.; Abdul-Wahab A. Abokhodair",
ABDURAHIMAN PULIKKODEN,"PULIKKODEN, ABDURAHIMAN",
Abu Jafar Mazumder Mohammad,"Mohammad, Abu Jafar Mazumder",
Ahmad Raza Yasin,"Yasin, Ahmad Raza",
Ahmed Farid Ibrahim,"Ahmed Ibrahim; Ibrahim, Ahmed",
Ahmed Salem,"Salem, Ahmed",
Ahmed Yaseri,"Yaseri, Ahmed",
Ahmet U. Dogan,"Dogan, Ahmet; Dogan, Ahmet U.; Dogan, A. U; A. U Dogan; Ahmet Dogan",
Abdulrahman Al-Arfaj,"Abdulrahman, Al- Arfaj; Al- Arfaj Abdulrahman",
Alaaddin Bukhari,"Bukhari, Alaaddin; Alaadin Bukhari; Bukhari, Alaadin",
Alexis M. Nzila,"Nzila, Alexis; Nzila, Alexis M.; Alexis, Nzila; Alexis Nzila; Nzila Alexis",
Mohammed Alfarhan,"Mohammed, Alfarhan; Alfarhan, Mohammed; Al-farhan, Mohammed; Al Farhan, Mohammed; Mohammed Al-farhan; Alfarhan Mohammed; Mohammed Al Farhan",
Ali Al-Ghamdi,,
Ali Atieh Motaz,"Motaz, Ali Atieh",
Amjad B. Khalil,"Khalil, Amjad; Amjad Khalil; Khalil, Amjad B.; Khalil Amjad",
Ammar El-Husseiny,"El-Husseiny, Ammar; Elhusseiny, Ammar; Ammar ElHusseiny",
Ardiansyah Koeshidayatullah,"Koeshidayatullah, Ardiansyah; Dr. Ardiansyah Koeshidayatullah",
Assad Ahmed Al-Thukair,"Al-Thukair, Assad Ahmed; Al-Thukair, Assad Ahmed Al-Thukair; Assad Ahmed Al-Thukair Al-Thukair; Al-Thukair, Assad; Dr. Assad Al-Thukair; Assad Al-Thukair; Dr. Al-Thukair Assad Ahmed",
Axel Munnecke,"Munnecke, Axel",
Baqer Al Ramadan,"Al Ramadan, Baqer; Al-Ramadan, Baqer; Baqer Al-Ramadan",
Basim Ahmed Abussuad,"Abussuad, Basim Ahmed",
Bassam Shafiq Al-Tawabini,"ِAl-Tawabini, Bassam; Bassam Al-tawabini; Dr.Bassam Al-Tawabini; Dr. Bassam Al-Tawabini; Al-tawabini, Bassam; Al-Tawabini, Bassam S.; Tawabini, Bassam; Bassam Tawabini; Dr. Bassam Tawabini; Bassam, S.Tawabini; Dr. Bassam S. Tawabini; Tawabini, Bassam S.; Bassam, Tawabini; Tawabini, Bassam S; Shafiq Al-Tawabini, Bassam; Tawabini, Bassam Shafiq; Bassam Shafiq Tawabini; Tawabeni, Bassam; Bassam Tawabeni; Bassam S. Al-Tawabini; Bassam S. Tawabini; Tawabini Bassam; Bassam S Tawabini; Bassam ِAl-Tawabini; Dr Bassam Tawabini; S. Tawabini Dr. Bassam; S.T Bassam; S.Tawabini Bassam; Tawabini Tawabini",
Ben Mansour Dia,"Dia, Ben Mansour",
Umair Bin Waheed,"Umair, Bin Waheed; bin Waheed, Umair; Umair bin Waheed; Bin Waheed Umair; Umair Waheed; Waheed, Umair; Waheed, Umair B.; Umair B. Waheed; U. Waheed",
Bo Liu,"Liu, Bo",
Christopher Boland,"Christopher, Boland; Boland Christopher",
Cédric John,"John, Cédric",
Cesar Barajas-Olalde,"Barajas-Olalde, Cesar",
Chanbasha Basheer,"Chanbasha, Basheer; Basheer Chanbasha; Basheer, Dr. Chanbasha; Dr. Chanbasha Basheer; Basheer, Chanbashs; Chanbashs Basheer; Basheer Chanbashs",
Cornel Olariu,"Olariu, Cornel",
Curtis D. Conley,"Conley, Curtis D.",
Dave Cantrell,"Cantrell, Dave",
Dhafer Al Shehri,"Al Shehri, Dhafer",
Dimitrios Ntarlagiannis,"Ntarlagiannis, Dimitrios",
Mohammad Omar,"Omar, Dr Mohammad; Dr Mohammad Omar",
Abduljamiu Amao,"Amao, Dr. Abduljamiu; Amao, Abduljamiu O; Abduljamiu, Amao; Amao, Abduljamiu; Abduljamiu Olalekan Amao; Amao, Abduljamiu Olalekan; Aamao Abduljamiu; Abduljamiu Amao; Abduljamiu O Amao; Amao Abduljamiu; Dr. Abduljamiu Amao",
Al-Human Abdulmohsen,"Abdulmohsen, Dr. Al-Human; Dr. Al-Human Abdulmohsen",
Korhan Ayranci,"Ayranci, Dr. Korhan; Ayranci, Korhan; Korhan, Ayranci; Dr. Korhan Ayranci; Ayranci Korhan",
Lamidi Babalola,"Babalola, Lamidi O.; Babalola, Lamidi; Babalola, Dr. Lamidi; Dr. Lamidi Babalola; Babalola, Lameed Olabode; Lameed Olabode Babalola; Lamidi O. Babalola",
Mohammed Al-Saleh,Dr. Mohammed Al-Saleh,
Mohammed Al-Shuhail,Dr. Mohammed Al-Shuhail,
Mustafa A. Ukayli,"Mustafa A. Ukayli; Dr. Mustafa A. Ukayli; Ukayli, M.; M. Ukayli; Al-Ukayli, Mustafa A.; Mustafa A. Al-Ukayli",
Osman Abdullatif,"Abdullatif, Osman; Osman Abdullatif; Abdullatif, Osman M.; Abdullatif, Dr. Osman; Osman, M. Abdullatif; Osman, Abdullatif; . Osman, Abdullatif; Abdulatif, Dr. Osman; Abdulatif, Osman; Abdullatif, Dr. Osman Mahmoud; Dr. Osman Abdulatif; Dr. Osman Abdullatif; Dr. Osman Mahmoud Abdullatif; Osman Abdulattif; Osman M. Abdullatif; Osman Abdulatif; Abdullatif . Osman; Abdullatif Dr. Osman; Abdullatif Osman; M. Abdullatif Osman",
Wael Abdallah,"Abdallah, Dr. Wael; Dr. Wael Abdallah",
Richard Collier,"Collier, Dr., Richard; Dr., Richard Collier; Richard Collier Dr.",
Ellis Leroy,"Leroy, Ellis",
Emin Candansayar,"Candansayar, Emin",
Fabrizio Frontalini,"Frontalini, Fabrizio",
Fahd AlGhunaimi,"AlGhunaimi, Fahd",
Faraj Abuilaiwi,"Abuilaiwi, Faraj",
Fawwaz Al-Khaldi,"Al-Khaldi, Fawwaz; Fawwaz Alkhaldi; Alkhaldi Fawwaz; Fawwaz, Alkhaldi; Khaldi, Fawwaz; Fawwaz Khaldi",
Frans Van Buchem,"Buchem, Frans Van",
G. W. Lynts,"Lynts, G. W.",
Svetoslav Georgiev,"Svetoslav, Georgiev; Georgiev Svetoslav",
Geraint Wyn Hughes,"Hughes, Geraint Wyn",
Giovanni Bertotti,"Bertotti, Giovanni; Bertotti, G; G Bertotti",
Giulio Vignoli,"Vignoli, Giulio",
Guenther Glatz,"Glatz, Guenther",
Guido Port,"Port, Guido",
Guodong Jin,"Jin, Guodong",
Harald Karg,"Karg, Harald",
Mustafa Hariri,"Hariri, Mustafa; Hariri, Mustafa M.; Mustafa Hariri; M. Hariri, Mustafa; Dr. Mustafa, Hariri; Hariri Dr. Mustafa; Hariri, Mustaffa; Mustaffa Hariri; Mustafa M. Hariri",
Hassan Eltom,"Eltom, Hassan; Hassan, Eltom; Hassan A. Eltom; Eltom Hassan",
Husam Baalousha,"Baalousha, Husam",
Irshad Ahmad Ahmad,"Ahmad, Irshad Ahmad",
Israa Abu-Mahfouz,"Abu-Mahfouz, Israa; Abu mahfouz, Israa; Israa S. Abu-Mahfouz; Israa Abu Mahfouz",
Jack Dvorkin,"Dvorkin, Jack",
Jean-Philippe Avouac,"Avouac, Jean-Philippe",
Johannes Reijmer,"Reijmer, Johannes; Reijmer, Johannes Jozef Gerardus; Johannes Jozef Gerardus Reijmer; Reijmer, John J. G.; John J. G. Reijmer",
John Dean Humphrey,"Humphrey, John; John Humphrey; Dr. John D. Humphrey; Dr. John Humphrey; John D Humphrey; D. Humphrey, John; Humphrey, John D; Humphrey, John Dean; John D. Humphrey",
John Hall,"Hall, John",
John Melvin,"Melvin, John",
Jonathan Payne,"Payne, Jonathan",
Justin V. Strauss,"Strauss, Justin V.",
K. A. Ziq,"Ziq, K. A.",
K. P. Manikandan,"Manikandan, K. P.",
Kamaljit Singh,"Singh, Kamaljit",
Khaled M. Mazen,"Mazen, Khaled M.; Mazen, Khaled; Khaled Mazen",
Khalid Al-Ramadan,"Al-Ramadan, Khalid; Al-Ramadan, Khalid A.; Al-Ramadan, Dr. Khalid; Dr. Khalid Al-Ramadan; Khalid Al- Ramadan; Khalid A. H. Al-Ramadan; Khalid Ramadan; Al-Ramadan A. Khalid; Khalid Alramadan; Khalid Al Ramadan; Al Ramadan, Khalid; Al-Ramadan, Khalid A. H.; Khalid, Al-Ramadan A.; Al- Ramadan, Khalid; Alramadan, Khalid; AlRamadan, Khalid A.; Khalid A. AlRamadan; Al-Ramadan, Khalid Abdulsamad; Khalid Abdulsamad Al-Ramadan; Al-Ramadan, Khalid Abulsamad; Khalid Abulsamad Al-Ramadan; Al Armadan, Khalid; Khalid Al Armadan; Khalid A. Al-Ramadan",
Khalid Al Hoashani,"Al Hoashani, Khalid",
Zafarullah Khan,"ZAFARULLAH, KHAN; KHAN ZAFARULLAH",
Khattab G. Al-Hinai,"Al-Hinai, Khattab G.",
Tahar Laoui,"Tahar, Laoui; Laoui Tahar",
Luis A. González,"González, Luis A.; González, Luis; Luis González",
Abdulaziz M. Al-Shaibani,"Dr.Abdulaziz Al-Shaibani; Al-Shaibani, Abdulaziz; Al-Shaibani, Dr.Abdulaziz; Al-Shaibani, Abdulaziz A; Abdulaziz Al-Shaibani; Al-Shaibani, Abdulaziz M.; Dr. Abdulaziz, M. Al-Shaibani; Abdulaziz M. Al-Shaibani; M. Al-Shaibani Dr. Abdulaziz; Al-Shaibani, A. M; A. M Al-Shaibani; Shaibani, Abdulazeez; Abdulazeez Shaibani; Abdulaziz A Al-Shaibani",
M. Ashraf Farahat,"Farahat, Ashraf; Farahat, Dr Ashraf; Dr. Farahat, M. Ashraf; M. Ashraf Dr. Farahat; Ashraf Farahat; Dr Ashraf Farahat",
M. Badrul Imam,"Badrul Imam, M.; Imam, M. Badrul",
M. Fehler,"Fehler, M.",
M. Sakhawat Hussain,"Hussain, M. Sakhawat",
Mahbub Hussain,"Hussain, Mahbub; Husain, Mahbub; Mahbub Husain",
Maher M. Badr,"Badr, Maher M.",
Mahmoud Al-Nazghah,"Al-Nazghah, Mahmoud; Alnazghah, Mahmoud; Mahmoud Alnazghah",
Mamadou S. Diallo,"Diallo, Mamadou; Diallo, Mamadou S.; Mamadou Diallo",
Mandefro Belayneh,"Belayneh, Mandefro",
Martin Keller,"Keller, Martin",
Matthieu Deville de Periere,"de Periere, Matthieu Deville",
Mehmet Namik Cagatay,"Cagatay, Mehmet Namik",
